Application/Permit Number,Permit Type,Status,Category,Expiration Date,Location,Zipcode,Expected Construct Year,Expected Construct Month,Description
6475662,Construction,Permit Issued,MULTIFAMILY,10/06/2017,"2768 SW HOLDEN ST
(47.53397273, -122.36785587)",98126,2017,10,"Grading, Storm, and Sewer work including shoring walls (site preparation) for future development, per plan."
6475667,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/20/2017,"1213 E SHELBY ST
(47.64658945, -122.3163033)",98102,2017,5,"Construct additions and alterations to existing floating single family residence, per plan"
6475686,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,04/09/2017,"1719 N 47TH ST
(47.6626556, -122.33682205)",98103,2017,4,"Construct substantial alterations to an existing single family residence, per plans."
6475733,Construction,Permit Issued,COMMERCIAL,12/11/2018,"1521 15TH AVE
(47.6148022, -122.31315068)",98122,2018,12,"Underpin existing building per plan (Establish use as retail, restaurant & apartments and underpin existing building / review & processing for 2 permits under 6327097)."
6475812,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/27/2017,"10009 14TH AVE NW
(47.70190038, -122.37443585)",98177,2017,1,"Construct interior alterations and replace existing windows with doors, on existing single family residence, subject to field inspection (STFI)."
6475819,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/26/2016,"2 FULTON ST
(47.6459858, -122.35654815)",98109,2016,11,"Construct alteration to existing single family residence, per plot plan, per STFI"
6475824,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/07/2017,"508 PROSPECT ST
(47.62911462, -122.34704953)",98109,2017,7,"Establish use as rowhouse and construct new duplex with attached garage, per plan"
6475894,Construction,Permit Issued,MULTIFAMILY,11/26/2016,"1221 QUEEN ANNE AVE N
(47.63028873, -122.35697457)",98109,2016,11,"Construct interior alterations to unit 102, 103, 106, 306, & 404 to an existing apartment building subject to field inspection"
6475903,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/26/2016,"809 38TH AVE
(47.60954516, -122.28505984)",98122,2016,11,"Construct carport addition to existing single family, per plot plan, per STFI"
6475938,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/05/2016,"3612 44TH AVE SW
(47.57157541, -122.38780051)",98116,2016,12,"Construct single story addition and two decks, subject to field inspection (STFI)."
6475970,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/16/2018,"4732 52ND AVE S
(47.55958014, -122.2679409)",98118,2018,7,"Construct alterations to first floor of existing single family residence, per plan."
6475983,Construction,Permit Issued,MULTIFAMILY,02/02/2018,"1515 LAKEVIEW BLVD E
(47.63310462, -122.32302326)",98102,2018,2,"Establish use as rowhouse and construct townhouse structure, per plan"
6475990,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,10/04/2018,"9726 BEACON AVE S
(47.51349941, -122.27250966)",98118,2018,10,"Establish use as and construct new single family residence, per plan."
6476056,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/27/2016,"4829 NE 41ST ST
(47.65818018, -122.2753563)",98105,2016,11,"Interior alteration to existing single family residence, per floor plan, subject to field inspection (STFI)"
6476069,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/27/2016,"1307 E BOSTON ST
(47.63806006, -122.31578822)",98102,2016,11,"Alteration to existing single family residence, per plot plan , per STFI"
6476086,Construction,Permit Issued,MULTIFAMILY,07/06/2018,"4001 BEACH DR SW
(47.56845501, -122.40955566)",98116,2018,7,"Exterior repair and maintenance work: guardrail replacement, window replacement and siding replacement.Subject to Field Inspection."
6476098,Construction,Permit Issued,COMMERCIAL,01/20/2017,"1221 MADISON ST
(47.60979851, -122.32299334)",98104,2017,1,Blanket Permit for interior non-structural alterations.
6476121,Construction,Permit Issued,INSTITUTIONAL,01/25/2017,"3530 INTERLAKE AVE N
(47.65011995, -122.3410927)",98103,2017,1,"Covert existing detached garage to owlery accessory to existing school and construct alterations to owlery, per plan. (Construct detached covered play area accessory to existing school.  Convert existing detached garage to owlery accessory to existing school and construct alterations to owlery. Review & process for 2 AP’s under #6458010.)"
6476245,Construction,Permit Issued,MULTIFAMILY,08/09/2017,"1206 OLYMPIC WAY W
(47.63011429, -122.36863078)",98119,2017,8,"Construct site work including new retaining wall and paving for new parking of existing structure, per plans."
6476257,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/17/2017,"3247 36TH AVE SW
(47.57419459, -122.37741651)",98126,2017,9,"Establish use as and construct single family residence, per plan (existing detached garage to remain)"
6476262,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/16/2017,"415 RAYE ST
(47.64276133, -122.34876602)",98109,2017,1,"Replace retaining walls and portion of foundation for existing single family residence, per plan."
6476308,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/14/2017,"3146 PORTAGE BAY PL E
(47.65016741, -122.31872045)",98102,2017,7,"Establish use as single family residence and construct new floating home in an existing slip, per plan.Slip G"
6476348,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/14/2018,"13508 RIVIERA PL NE
(47.72663969, -122.28073713)",98125,2018,5,"Establish use as and construct a single family residence, per plans."
6476444,Construction,Permit Issued,COMMERCIAL,03/25/2017,"2402 S MCCLELLAN ST
(47.57846232, -122.3009865)",98144,2017,3,"Alterations to replace antennas and accessory equipment at existing minor communication utility on monopole and at ground level equipment area, per plan"
6476456,Construction,Permit Issued,COMMERCIAL,08/13/2018,"820 18TH AVE
(47.60990838, -122.30855786)",98122,2018,8,"Construct alterations to an existing minor communications antenna facility (Verizon), per plans"
6476601,Construction,Permit Issued,MULTIFAMILY,04/29/2017,"1709 HARBOR AVE SW
(47.58765025, -122.37959161)",98126,2017,4,"Construct interior alterations to existing condominium on entire 4th floor of an exsiting multi-family structure, per (STFI)"
6476614,Construction,Permit Issued,MULTIFAMILY,07/11/2018,"2505 YALE AVE E
(47.64219061, -122.32750433)",98102,2018,7,"Construct alterations to convert 2-unit residential building to 4-unit multifamily residentail building, occupy per plan."
6476621,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/05/2017,"1943B 7TH AVE W
(47.63722243, -122.36659536)",98119,2017,7,"Alterations to ground level of existing residential structure to add accessory dwelling unit, per plan."
6476670,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/02/2018,"4919 S ANGELINE ST
(47.55923424, -122.27123636)",98118,2018,3,"Addition to single family residence, subject to field inspection (STFI)."
6476693,Construction,Permit Issued,MULTIFAMILY,08/27/2018,"1814 E JOHN ST
(47.61987638, -122.30802579)",98112,2018,8,"Establish use as and construct new multifamily apartment building, occupy per plan."
6476708,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/28/2018,"1012 NE 94TH ST
(47.69705864, -122.31695723)",98115,2018,8,"Establish use as and construct new single family residence with attached garage, per plan."
6476719,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/30/2017,"8056 26TH AVE NW
(47.68843737, -122.389558)",98117,2017,3,Construct addition and substantial alteration to single family dwelling per plan.
6476730,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/30/2018,"2411 36TH AVE W
(47.63985875, -122.40389474)",98199,2018,9,"Construct addition and alterations to existing single family residence, per plan"
6476762,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/25/2018,"2727 YALE TER E
(47.6451601, -122.32680787)",98102,2018,2,"Establish use as and construct Northeast single family residence with surface parking, per plan (Establish use as and construct four single family residences with surface parking, per plan. Review & processing for 4 AP's under # 6350347)."
6476763,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/25/2018,"2719 YALE TER E
(47.64516549, -122.32670886)",98102,2018,2,"Establish use as and construct Southwest single family residence with surface parking, per plan. (Establish use as and construct four single family residences with surface parking, per plan. Review & processing for 4 AP's under # 6350347)."
6476764,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/25/2018,"2723 YALE TER E
(47.64513798, -122.32680076)",98102,2018,2,"Establish use as and construct Southeast single family residence with surface parking, per plan (Establish use as and construct four single family residences with surface parking, per plan. Review & processing for 4 AP's under # 6350347)."
6476800,Construction,Permit Issued,COMMERCIAL,01/03/2014,"4025 DELRIDGE WAY SW
(47.56787742, -122.36420875)",98106,2014,1,Blanket permit for interior non-structural alterations.  Administrative Permit only - no work authorized.
6476911,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/24/2016,"1229 S DONOVAN ST
(47.52543015, -122.31635744)",98108,2016,12,Construct interior alterations to main floor of exiting single family residence subject to field inspection (STFI)
6476925,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/01/2016,"4430 28TH PL W
(47.66044706, -122.39369784)",98199,2016,12,"Interior alteration (bathroom) to existing single family residence in basement per floor plan, Subject to Field Inspection (STFI)"
6476958,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/08/2017,"3420 13TH AVE W
(47.65103583, -122.37327984)",98119,2017,8,"Construct alterations and additions to existing single family residence, per plan."
6476963,Construction,Permit Issued,COMMERCIAL,12/01/2018,"1601 2ND AVE
(47.61036318, -122.34038128)",98101,2018,12,"3/14/17 HUD. EXTENSION APPROVED. SUBJECT TO CANCELLATION 5/31/17. Construct tenant improvements to basement and 1st floor of an existing commercial building for (H-Mart), per plans."
6477089,Construction,Permit Issued,COMMERCIAL,02/19/2018,"234 9TH AVE N
(47.62071032, -122.33942842)",98109,2018,2,"Phased project: Construct a new retail, office, and residential building with below grade parking, and occupy per plan."
6477154,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/18/2018,"4853 S ORCAS ST
(47.55097316, -122.27036824)",98118,2018,8,"Construct alterations and 2nd story addition to existing single family residence, per plan"
6477155,Construction,Permit Issued,COMMERCIAL,12/02/2016,"1455 NW LEARY WAY
(47.66330435, -122.37550068)",98107,2016,12,Construct interior alterations to add one door To Suite 300 of existing commercial Building Subject To Field Inspection
6477164,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/09/2018,"2425 S JUDKINS ST
(47.59193957, -122.30014825)",98144,2018,7,"Alterations to existing basement and construction of new deck for existing single family residence, per plan."
6477201,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/24/2017,"6248 31ST AVE NE
(47.67538387, -122.29402001)",98115,2017,2,"Construct alterations and second story addition to an existing single family residence, per plans"
6477233,Construction,Permit Issued,MULTIFAMILY,12/02/2016,"2360 43RD AVE E
(47.64071484, -122.27613688)",98112,2016,12,"Interior alterations to existing common space/exercise room for condominium, subject to field inspection."
6477239,Construction,Permit Finaled,MULTIFAMILY,08/17/2017,"6523 34TH AVE SW
(47.5439615, -122.37540766)",98126,2017,8,"Establish use as and construct a three unit rowhouse with surface parking, per plan."
6477244,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,04/20/2017,"711 N 91ST ST
(47.69475597, -122.34928526)",98103,2017,4,"Construct additions and alterations to upper floor of existing single family residence, per plans."
6477248,Construction,Permit Issued,COMMERCIAL,12/22/2016,"1301 4TH AVE
(47.60827954, -122.33537627)",98101,2016,12,"Blanket Permit for interior non-structural alterations.  Tenant improvement for the 19th floor of ""Freehold Group"", per plan."
6477256,Construction,Permit Issued,COMMERCIAL,12/02/2016,"4141 UNIVERSITY WAY NE
(47.65806833, -122.31367639)",98105,2016,12,"Alterations to YOGA Studio on the 3rd level of existing commercial building, per plan and subject to field inspection."
6477308,Construction,Permit Issued,MULTIFAMILY,11/24/2017,"5027 44TH AVE NE
(47.66570781, -122.2803019)",98105,2017,11,"Establish use as rowhouse and construct a 4 unit townhouse building, per plans"
6477334,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/30/2017,"601 W COMSTOCK ST
(47.63032643, -122.36470922)",98119,2017,3,"Elevator addition and alterations to existing single family residence, per plan."
6477350,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/19/2018,"9512 PALATINE AVE N
(47.69827478, -122.35645017)",98103,2018,6,"Construct alterations to accessory dwelling unit (ADU) addition to existing single family residence, per plan."
6477424,Construction,Permit Issued,INDUSTRIAL,12/03/2016,"8009 7TH AVE S
(47.53084392, -122.32698331)",98108,2016,12,"Siding replacement and sheathing repairs in kind to office portion of manufacturing building subject to field inspection, per plan."
6477452,Construction,Permit Issued,COMMERCIAL,07/22/2017,"744 N 34TH ST
(47.6496355, -122.3484192)",98103,2017,7,"Shoring and Excavation for Construction of an office and retail building with below grade parking, per plan. (Review & processing for 2 AP's under 6477452)."
6477482,Construction,Permit Issued,COMMERCIAL,07/15/2017,"970 DENNY WAY
(47.61879678, -122.33754792)",98109,2017,7,"Shoring and excavation for construction of multi-family and retail building with below grade parking, per plan (Shoring and excavation for construction of building with below grade parking and underpin South wall of existing building / review and processing for 2 Aps under 6477482)."
6477496,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/03/2016,"4530 14TH AVE S
(47.56260411, -122.31453762)",98108,2016,12,"Cancel per customer Log 15-1741Construct new deck, per plot plan, per STFI"
6477535,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/03/2016,"4754 2ND AVE NE
(47.66475431, -122.3268982)",98105,2016,12,"CONSTRUCT DETACHED GARAGE (SHARED W/ 4750) ACCESSORY TO AN EXISTING SINGLE FAMILY RESIDENCE, PER PLOT PLAN AND STFI (DOUBLE TAGGED W/#6477537)"
6477537,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/03/2016,"4750 2ND AVE NE
(47.66464296, -122.32690436)",98105,2016,12,"CONSTRUCT DETACHED GARAGE (SHARED W/ 4754) ACCESSORY TO AN EXISTING SINGLE FAMILY RESIDENCE, PER PLOT PLAN AND STFI (DOUBLE TAGGED W/#6477535)"
6477548,Construction,Permit Finaled,SINGLE FAMILY / DUPLEX,04/06/2017,"809 N 42ND ST
(47.65757406, -122.34808674)",98103,2017,4,"Establish use as townhouse and construct new two-family residence, per plan. (Establish use as single family residence and townhouse and construct one new single family residence and one new two-family residence / Review and processing for two AP?s under 6445418)"
6477560,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/08/2018,"8454 42ND AVE SW
(47.52751102, -122.38430333)",98136,2018,9,"Establish use as single family residence and construct one family dwelling, per plans. (Foundation constructed under separate permit 6439824)."
6477562,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/13/2018,"13045 20TH AVE NE
(47.7242395, -122.30802592)",98125,2018,3,"Construct garage attached to an exsiting single family residence, per plan."
6477659,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/04/2016,"310 30TH AVE S
(47.59993359, -122.29314287)",98144,2016,12,Remove elevator shaft and construct interior alterations per floor plan subject to field inspection
6477664,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/14/2018,"4607 LAKE WASHINGTON BLVD S
(47.56120775, -122.26795991)",98118,2018,3,"Establish use as and construct new single family residence with attached garage, per plan"
6477677,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/30/2018,"4609 LAKE WASHINGTON BLVD S
(47.56146363, -122.26778821)",98118,2018,11,"Remove detached garage and establish use as and construct a single family residence, per plans."
6477679,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/04/2016,"3918 SW HOLDEN ST
(47.53377378, -122.3828707)",98136,2016,12,"Repair fire damage to existing single family residence, per plot plan, per STFI"
6477682,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/14/2018,"4611 LAKE WASHINGTON BLVD S
(47.56132172, -122.26760874)",98118,2018,9,Establish use and construct single family dwelling with attached garage per plan.
6477721,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/16/2016,"8035 22ND AVE NW
(47.68792193, -122.38464148)",98117,2016,12,Voluntary seismic upgrade per project impact
6477768,Construction,Permit Issued,INDUSTRIAL,06/30/2017,"1102 SW MASSACHUSETTS ST
(47.58760822, -122.35020055)",98134,2017,6,"Tenant improvements to existing office on first floor, north building, occupy per plan"
6477781,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,04/20/2017,"6705 HOLLY PL SW
(47.54288294, -122.3913663)",98136,2017,4,"Alterations to stabilize portion of foundation for single family residence and grading, per plans."
6477792,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/07/2017,"1520 BROADMOOR DR E
(47.63298877, -122.28802916)",98112,2017,9,"Establish use as and construct new single family residence, per plan."
6477838,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/03/2018,"2806 NW 61ST ST
(47.6731423, -122.39337478)",98107,2018,9,Construct detached garage with roof deck and green roof accessory to single family dwelling per plan.
6477844,Construction,Permit Issued,COMMERCIAL,12/23/2016,"1200 5TH AVE
(47.60842584, -122.3330673)",98101,2016,12,"Blanket Permit for interior non-structural alterations on the 15th floor, for TLG LEARNING CENTER, per plans."
6477855,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/14/2017,"142 NW 75TH ST
(47.68347326, -122.35987248)",98117,2017,12,"Construct additions and alterations to existing single family residence, per plan."
6477874,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/02/2017,"3911 1ST AVE NE
(47.65402635, -122.328346)",98105,2017,6,"Alterations to existing single family residence to add roof deck, per plan"
6477973,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/13/2018,"4300 S SNOQUALMIE ST
(47.56196569, -122.27941971)",98118,2018,8,"Interior alterations for kitchen/dining room remodel on main floor and Master bathroom on 2nd floor of existing single family residence, subject to field inspection (STFI)."
6477974,Construction,Permit Issued,COMMERCIAL,07/14/2017,"2815 ALASKAN WAY
(47.61472875, -122.35567671)",98121,2017,7,"Construct alterations to an existing commercial building at the rooftop level minor communications antenna facility (AT&T) and at grade level equipment room, per plan."
6477997,Construction,Permit Issued,COMMERCIAL,07/03/2018,"2651 NE 49TH ST
(47.66415589, -122.29846738)",98105,2018,7,"Phased project:  Construction of a retail building and occupy, per plan"
6478003,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/12/2018,"9334 39TH AVE S
(47.51879043, -122.28344183)",98118,2018,6,"Interior remodel to remove existing wall in an exsiting single family residence subject to field inspection.  5/4/2016 jle add enclosing of existing 3'5"" x 4'-0"" landing and relocating rear door (STFI.)"
6478049,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,10/20/2017,"4517 W DRAVUS ST
(47.6482509, -122.41565544)",98199,2017,10,Repair and stabilization of site retaining wall accessory to single family dwelling per plan
6478087,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/08/2016,"2328 10TH AVE E
(47.64032321, -122.31986779)",98102,2016,12,Interior alterations to existing kitchen in condo unit 206 per subject to field inspection
6478117,Construction,Permit Issued,MULTIFAMILY,12/08/2016,"4628 22ND AVE NE
(47.66231714, -122.30378251)",98105,2016,12,Alterations to add coating to existing decks on ground floor for existing apartment building per STFI (not change to height or configuration of decks).
6478118,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/16/2018,"5521 16TH AVE NE
(47.66920354, -122.31110205)",98105,2018,12,"Establish use as and construct a single family residence with an attached accessory dwelling unit, per plan"
6478175,Construction,Permit Issued,COMMERCIAL,12/08/2016,"9218 GREENWOOD AVE N
(47.69680756, -122.35492892)",98103,2016,12,"Interior alterations for restroom,  kitchenette, non-bearing interior partition walls, cooler and cooler doors, subject to field inspection, (STFI). Remaining work to be done on AP #6466007."
6478184,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/08/2018,"3410 SW 100TH ST
(47.51392725, -122.37590685)",98146,2018,6,"Addition to garage and addition to existing single family, per site plan, subject to field inspection (STFI)"
6478237,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/09/2018,"1900 4TH AVE N
(47.63586865, -122.34925868)",98109,2018,3,"Construct a new carport accessory to an exsiting single family residence subject to field inspection (STFI).  Revision (12/8/16):  A new 36"" X 46"" window will be added to north side of carport."
6478276,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/05/2018,"2801 NW 64TH ST
(47.67506194, -122.39326386)",98107,2018,7,"Establish use as and construct single family residence with attached garage, per plan."
6478278,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/28/2017,"1812 S MCCLELLAN ST
(47.57897342, -122.30862457)",98144,2017,6,"Establish use as and construct new single family residence with attached garage, per plan."
6478301,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/26/2018,"1934 10TH AVE W
(47.63703488, -122.36990409)",98119,2018,1,"Construct SINGLE FAMILY RESIDENCE, per plans.  (Establish use as and construction of one single family residence and one 2-unit townhouse.  Reviews and processing for 2 A/Ps under 6478301)."
6478303,Construction,Permit Issued,MULTIFAMILY,05/23/2018,"7527 43RD AVE S
(47.5344542, -122.27955831)",98118,2018,5,"Primary:  Construct east 3-unit townhouse, per plan. (Establish use as rowhouses and construct (2) 3-unit townhouses/review & process for 2 AP's under #6478303)."
6478379,Construction,Permit Issued,MULTIFAMILY,10/28/2018,"808 FIR ST
(47.60285228, -122.32194251)",98104,2018,10,"Phased project:  Construct multifamily residential building with parking and ground floor offices, occupy per plan."
6478430,Construction,Permit Issued,COMMERCIAL,08/19/2017,"751 S MICHIGAN ST
(47.5467538, -122.32338313)",98108,2017,8,"Change of use to ""major automotive vehicle repair"" (auto wrecking) for an existing commercial building, occupy per plans."
6478470,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/09/2016,"1910 FAIRVIEW AVE E
(47.63616385, -122.32719011)",98102,2016,12,Construct interior alterations to suite 500 per floor plan subject to field inspection
6478494,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/30/2018,"138 N 73RD ST
(47.68199525, -122.35630006)",98103,2018,9,"Construct addition and alterations to existing single family residence, per plan"
6478526,Construction,Permit Issued,COMMERCIAL,07/06/2018,"1008 N 109TH ST
(47.70822046, -122.34550632)",98133,2018,7,"Phased project:  Construction of a retail and partially modular residential building with surface parking and occupy, per plan"
6478593,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/09/2018,"1543 VALENTINE PL S
(47.5885216, -122.30773847)",98144,2018,3,"Construct west single family residence, per plan. (Construct two new single family residences / Review and processing for 2 AP's under 6478593)"
6478604,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/20/2017,"4716 8TH AVE NE
(47.66372539, -122.31911327)",98105,2017,11,"Construct west single family residence, per plan (Establish use as and construct two single family residences with surface parking, per plan, review and processing for 2 A/Ps under 6478604)"
6478608,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/30/2017,"8501 27TH AVE NE
(47.69033553, -122.29921068)",98115,2017,9,"Alteration to existing single family residence to replace existing decks, per plans."
6478619,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/20/2017,"5105 S ORCHARD ST
(47.53815674, -122.26987921)",98118,2017,1,"Interior alteration only to main floor only, subject to field inspection."
6478621,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/24/2017,"3409 18TH AVE S
(47.57276197, -122.30798562)",98144,2017,5,"Construct addition and alterations to existing single family residence, per plan."
6478664,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/12/2018,"3856 21ST AVE SW
(47.56850796, -122.35981677)",98106,2018,7,"Construct two-unit townhouse with attached garage, per plan."
6478665,Construction,Permit Issued,MULTIFAMILY,08/08/2017,"1964 26TH AVE W
(47.63676293, -122.39011256)",98199,2017,8,"Construct improvements to building envelope of an existing multi-family building, per plans."
6478686,Construction,Permit Issued,COMMERCIAL,09/29/2017,"436 N 34TH ST
(47.65066305, -122.35297564)",98103,2017,9,"Construct exterior alterations to entry canopies and awnings at the north and south entrances of existing office building, per plan."
6478724,Construction,Permit Issued,COMMERCIAL,01/16/2018,"1017 W EWING ST
(47.65461822, -122.37006974)",98119,2018,1,One-time renewal for:  AP #6390586 - Install factory constructed commercial coach for temporary 18-month use as office and occupy per plan.
6478728,Construction,Permit Finaled,MULTIFAMILY,04/21/2017,"3817 GILMAN AVE W
(47.65443126, -122.38539519)",98199,2017,4,"Construct south 3-unit townhouse, per plans.  (Construct one 3-unit and one 4-unit townhouse.  Reviews and processing for 2 A/Ps under 6433724.  Use as rownhouses established under 3018308)"
6478740,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/09/2017,"2822 32ND AVE S
(47.5776447, -122.29159528)",98144,2017,8,"Construct additions and alterations to east side of existing single family residence, per (STFI)"
6478760,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/10/2018,"1610 21ST AVE
(47.61569388, -122.30461462)",98122,2018,5,"Construct 2nd story addition to existing single family residence, per plan."
6478807,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/09/2018,"8728 14TH AVE NW
(47.69321597, -122.37384554)",98117,2018,11,"Construct a one story addition to existing single family residence, subject to field inspection"
6478840,Construction,Permit Issued,COMMERCIAL,05/14/2017,"1001 FAIRVIEW AVE N
(47.62902532, -122.33174325)",98109,2017,5,"Construct additions and alterations to existing commercial building at south entrance, per plan."
6478862,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/01/2017,"4253 WOODLAND PARK AVE N
(47.65882426, -122.34488012)",98103,2017,9,"Establish use as single family residence.Construct one family dwelling and attached accessory dwelling unit on existing foundation, per plans."
6478928,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/11/2016,"8400 ISLAND DR S
(47.52873777, -122.26139926)",98118,2016,12,Construct alteration to finish basement and complete slab on grade per STFI
6478972,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,10/23/2018,"10541 DENSMORE AVE N
(47.70628806, -122.33787213)",98133,2018,10,"Establish use as and construct new single family residence with attached garage, per plan."
6478988,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/04/2017,"9717 SAND POINT WAY NE
(47.69983916, -122.27800587)",98115,2017,6,"Construct additions and alterations to existing single family residence, per plan."
6479023,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/12/2016,"347 NW 52ND ST
(47.66627432, -122.36287113)",98107,2016,12,"Addition to single family residence and new deck per floor plan, subject to field inspection (STFI)."
6479076,Construction,Permit Issued,MULTIFAMILY,12/17/2016,"2030 MINOR AVE E
(47.63776225, -122.32813156)",98102,2016,12,"Repair stucco on an existing apartment building, subject to field inspection (STFI)."
6479078,Construction,Permit Issued,MULTIFAMILY,12/12/2016,"507 HARVARD AVE E
(47.62333889, -122.32229313)",98102,2016,12,"Construct interior non-structural alterations to units 102 & 108 in an existing apartment building subject to field inspection, per plan."
6479103,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/12/2018,"9243 VIEW AVE NW
(47.69723201, -122.39970331)",98117,2018,6,"Construct alterations to existing single family residence, per plot plan, per stfi"
6479105,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/08/2017,"1750 16TH AVE S
(47.58762632, -122.3124781)",98144,2017,7,Construct middle single family residence this permit. (Establish use and construct one two-unit townhouse structure and two single family structures w/ accessory parking per plan).  Review and processing for 3 AP under 6462401
6479142,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/06/2018,"2856 NW 60TH ST
(47.67248194, -122.39543106)",98107,2018,12,"Remove existing garage and construct detached accessory dwelling unit (DADU) to an existing single family residence, per plan."
6479147,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,10/08/2017,"3616 36TH AVE S
(47.57101528, -122.28808168)",98144,2017,10,"Construct a single family residence, per plans. (Establish use as and construct a single family residence (East) and townhouse, per plans. Review and processing for 2 A/P's under 6453807)"
6479162,Construction,Permit Issued,MULTIFAMILY,07/05/2018,"11 W ALOHA ST
(47.62684241, -122.35737496)",98119,2018,7,"Construct addition and alterations, including HVAC improvements, to assisted living facility, per plan."
6479164,Construction,Permit Issued,COMMERCIAL,11/26/2018,"1904 SW DAWSON ST
(47.55615179, -122.35874302)",98106,2018,11,"Construct alterations to replace all windows and skylights in-kind , subject to field inspection."
6479227,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,06/15/2018,"2136 N 87TH ST
(47.69197643, -122.33210364)",98103,2018,6,"Establish use as and Construct new single family residence with attached garage, per plan"
